Well,Rot_Top_m,Rot_Base_m,Gross_Thickness_m,Net_Pay_m,NTG,Log_Porosity_pct,Log_Perm_mD,Thermo_Porosity_pct,Thermo_Perm_mD_P50,Thermo_Perm_mD_P10,Thermo_Thickness_m_P50,Thermo_Temp_C_P50,Thermo_Flow_m3h_P50,Thermo_Power_MW_P50,Thermo_Power_MW_P10
BLT-01,1924.0,2123.0,199.0,138.2,0.69,14.0,40.4,17.0,82.0,521.0,130.0,77.0,,5.1,23.7
EVD-01,1788.0,2197.5,409.5,130.5,0.32,10.6,12.3,9.0,6.0,11.0,76.0,72.0,,0.0,0.0
PKP-01,2530.5,2751.0,220.5,70.1,0.32,5.6,2.3,9.0,1.0,6.0,60.0,88.0,,0.0,0.0
JUT-01,1659.5,3409.0,1749.5,840.8,0.48,4.6,0.0,11.0,40.0,81.0,125.0,72.0,,2.3,4.8
